epoch,train_perc,val_perc,train_acc,val_acc
0,0.9931215858922813,0.9929037426144586,0.7822993106515455,0.7764567392583873
1,0.993164498410381,0.9930051487249516,0.7839605488626404,0.7782224838140083
2,0.9931628011863404,0.99303776328474,0.7832803568391999,0.779635079458505
3,0.9931777789406826,0.9931246566847666,0.7843791285693731,0.7819894055326663
4,0.9933212783555145,0.9932183154135324,0.7881855877774726,0.7839905826957033
5,0.9934494138972575,0.9933448331699158,0.7902130832319586,0.7861094761624485
6,0.9935553666792918,0.9934125854892649,0.7926722390090125,0.7877575044143614
7,0.9936024599803065,0.9934885767894267,0.7951052335543958,0.7892878163625662
8,0.9938459976938153,0.9934970896997154,0.7981660976598778,0.7894055326662743
9,0.9936922753044645,0.9935082361836004,0.7987285641407997,0.7885815185403179
10,0.9938671226913321,0.9935511504068566,0.8026004264280763,0.7878752207180695
11,0.9938079429797697,0.9935484214649987,0.8005206085102486,0.7884638022366097
12,0.9938906916840592,0.9936140237321636,0.8019463956363065,0.7918775750441436
13,0.9939629923161148,0.9936527402640438,0.8023780559588746,0.7937610359034726
14,0.9939290779426035,0.9936186446674241,0.8033721827623644,0.7929370217775162
15,0.994003452545934,0.9937193888032949,0.8032282959881751,0.7934078869923484
16,0.9941569196443352,0.9937164413870808,0.8060798702402909,0.7923484402589759
17,0.9941740043294991,0.9937133124865858,0.8066554173370483,0.7928193054738081
18,0.9940693728816753,0.9937213088889688,0.8067469816478959,0.7935256032960565
19,0.9940714364840118,0.9937533550754537,0.8069039490379207,0.7950559152442613
20,0.9941733210370352,0.9937726714163586,0.807414093055501,0.794467333725721
21,0.9941228078320137,0.9937284846360449,0.8071917225862993,0.792583872866392
22,0.9943196004691665,0.9937492605019368,0.8099255712958966,0.7935256032960565
23,0.9941910851861625,0.9937618128375972,0.8069955133487685,0.7943496174220129
24,0.9942172537431874,0.9937504970506376,0.8098732488325551,0.794467333725721
25,0.9942629737971521,0.9937580525318876,0.8094677497416578,0.7942319011183049
26,0.9942568686901436,0.9937556991785159,0.8097162814425303,0.7937610359034726
27,0.9942824591370266,0.9937746056043099,0.8128687098588602,0.7942319011183049
28,0.9941396202278588,0.993769960938423,0.8089837669557483,0.7939964685108888
29,0.9943050829326602,0.9937637551200734,0.8118222605920287,0.7941141848145968
30,0.9942516592546656,0.9937685614268962,0.8109589399468927,0.7941141848145968
31,0.9943429424645814,0.9937685614268962,0.8106842470143495,0.7941141848145968
32,0.9941842646990706,0.9937667488230738,0.8091668955774438,0.7938787522071807
33,0.9941922463670743,0.993775146699797,0.8105272796243247,0.794585050029429
34,0.9942605599909929,0.9937604600122977,0.811102826721082,0.7941141848145968
35,0.9942359153716807,0.9937680048779339,0.8086698321756989,0.7942319011183049
36,0.9942753833159258,0.9937619154874081,0.8114952451961438,0.7939964685108888
37,0.9943285610873628,0.9937982526751808,0.8106057633193371,0.794467333725721
38,0.9943222900701685,0.993783268643954,0.810932778715222,0.7943496174220129
39,0.9942112895720542,0.9938129603490644,0.8084343810906618,0.7955267804590935
40,0.9942111657309379,0.9937973611649611,0.8095462334366702,0.7951736315479694
41,0.9942991531212868,0.9938107114319257,0.8108412144043742,0.7954090641553855
42,0.9943912998361897,0.9938179528137283,0.8129471935538726,0.7954090641553855
43,0.9942872993797925,0.9938274097903226,0.8113775196536253,0.7952913478516774
